Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross income,Rating
730-50-9884,C,Normal,Female,Sports and travel,83.06,7,29.071,610.491,3/5/2019,14:31,Ewallet,574.44296,6.97704,4
362-58-8315,C,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,10:23,Cash,360.0266,22.5734,9.9
633-44-8566,A,Member,Male,Food and beverages,49.38,7,17.283,362.943,3/27/2019,20:35,Credit card,340.4751,5.1849,7.3
504-35-8843,A,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,1/2/2019,16:57,Cash,41.96036,0.50964,5.7
318-68-5053,B,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2/27/2019,17:55,Cash,418.97958,42.96042,6.1
565-80-5980,C,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,1/23/2019,10:25,Cash,180.61256,8.90744,7.1
225-32-0908,C,Normal,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019,19:54,Ewallet,443.2168,5.3832,8.2
873-51-0671,A,Member,Female,Sports and travel,21.98,7,7.693,161.553,1/10/2019,16:42,Ewallet,152.01368,1.84632,5.1
152-08-9985,B,Member,Male,Health and beauty,64.36,9,28.962,608.202,3/12/2019,12:09,Credit card,525.37068,53.86932,8.6
512-91-0811,C,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2/6/2019,20:05,Credit card,81.40325,8.34675,6.6
594-34-4444,A,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,3/8/2019,20:38,Ewallet,91.62188,5.53812,7.2
766-85-7061,B,Normal,Male,Health and beauty,87.87,10,43.935,922.635,3/29/2019,10:25,Ewallet,796.9809,81.7191,5.1
871-39-9221,C,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2/9/2019,13:11,Cash,70.4421,4.2579,4.1
865-92-6136,A,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,3/23/2019,10:16,Ewallet,155.87625,2.37375,9.3
733-01-9107,B,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,3/5/2019,18:14,Cash,472.8786,23.3214,7.4
163-56-7055,C,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,3/26/2019,19:20,Cash,45.83611,2.87389,4.1
189-98-2939,C,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,3/1/2019,13:22,Cash,665.23995,41.71005,7.2
551-21-3069,C,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2/1/2019,11:27,Cash,195.79509,11.83491,4.9
212-62-1842,A,Normal,Male,Food and beverages,58.26,6,17.478,367.038,3/28/2019,16:44,Cash,344.3166,5.2434,9.9
716-39-1409,B,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,3/19/2019,18:19,Cash,192.69215,19.75785,8
704-48-3927,A,Member,Male,Electronic accessories,88.67,10,44.335,931.035,1/12/2019,14:50,Ewallet,836.1581,50.5419,7.3
628-34-3388,C,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,1/5/2019,20:54,Credit card,154.58748,9.69252,7.9
630-74-5166,A,Normal,Male,Sports and travel,62.13,6,18.639,391.419,3/22/2019,20:19,Cash,368.30664,4.47336,7.4
588-01-7461,C,Normal,Female,Food and beverages,33.98,9,15.291,321.111,3/24/2019,10:43,Cash,301.2327,4.5873,4.2
861-77-0145,C,Member,Male,Electronic accessories,81.97,10,40.985,860.685,3/3/2019,14:30,Cash,772.9771,46.7229,9.2
479-26-8945,B,Member,Female,Sports and travel,16.49,2,1.649,34.629,2/5/2019,11:32,Ewallet,32.58424,0.39576,4.6
210-67-5886,C,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2/5/2019,10:41,Credit card,267.22941,27.40059,7.8
227-78-1148,B,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2/15/2019,12:44,Cash,479.79708,30.08292,8.4
645-44-1170,A,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,1/19/2019,20:07,Ewallet,498.06639,24.56361,4.3
237-01-6122,C,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2/1/2019,20:31,Credit card,692.93583,34.17417,9.5
225-98-1496,C,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,3/2/2019,13:01,Credit card,76.27746,4.78254,7.1
291-32-1427,B,Member,Male,Fashion accessories,21.94,5,5.485,115.185,3/5/2019,12:29,Ewallet,103.2277,6.4723,5.3
659-65-8956,B,Member,Male,Fashion accessories,51.36,1,2.568,53.928,1/16/2019,15:26,Ewallet,48.32976,3.03024,5.2
642-32-2990,A,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2/2/2019,20:48,Ewallet,107.956,1.644,6
378-24-2715,B,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,1/20/2019,20:38,Ewallet,101.85664,5.02336,4.1
638-60-7125,A,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2/14/2019,17:03,Credit card,751.08064,45.39936,5.2
659-36-1684,C,Member,Male,Sports and travel,57.12,7,19.992,419.832,1/12/2019,12:02,Credit card,395.04192,4.79808,6.5
219-22-9386,B,Member,Male,Sports and travel,99.96,9,44.982,944.622,3/9/2019,17:26,Credit card,888.84432,10.79568,4.2
336-78-2147,C,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,3/13/2019,19:52,Credit card,487.24984,24.03016,4.6
268-27-6179,B,Member,Female,Fashion accessories,56.47,8,22.588,474.348,3/9/2019,14:57,Ewallet,425.10616,26.65384,7.3
668-90-8900,A,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,3/10/2019,18:44,Credit card,625.00599,30.82401,4.5
870-54-3162,A,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,1/27/2019,13:26,Cash,159.315,1.935,9
189-08-9157,C,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,1/8/2019,16:17,Credit card,268.72137,16.84863,5.9
663-86-9076,C,Member,Female,Food and beverages,68.54,8,27.416,575.736,1/8/2019,15:57,Ewallet,540.0952,8.2248,8.5
549-84-7482,B,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2/8/2019,11:15,Ewallet,802.76976,9.75024,7.2
191-10-6171,B,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,1/25/2019,13:18,Cash,260.97694,16.36306,7.5
802-70-5316,A,Member,Female,Sports and travel,92.13,6,27.639,580.419,3/6/2019,20:34,Cash,546.14664,6.63336,8.3
695-51-0018,B,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2/10/2019,18:36,Cash,137.68768,1.67232,7.4
590-83-4591,B,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2/17/2019,14:40,Credit card,494.7921,29.9079,8.8
483-71-1164,C,Normal,Female,Health and beauty,81.3,6,24.39,512.19,3/8/2019,16:43,Ewallet,442.4346,45.3654,5.3
597-78-7908,C,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2/18/2019,19:39,Cash,254.69106,15.96894,6.2
700-81-1757,A,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,1/18/2019,20:59,Credit card,124.05165,7.49835,8.8
354-39-5160,A,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2/18/2019,15:39,Cash,196.81356,9.70644,9.8
241-72-9525,B,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2/16/2019,12:21,Cash,512.8708,6.2292,8.2
575-30-8091,A,Normal,Male,Sports and travel,72.5,8,29,609,3/16/2019,19:25,Ewallet,573.04,6.96,9.2
731-81-9469,C,Member,Female,Sports and travel,89.8,10,44.9,942.9,1/23/2019,13:00,Credit card,887.224,10.776,5.4
280-17-4359,C,Member,Male,Health and beauty,90.5,10,45.25,950.25,1/25/2019,13:48,Cash,820.835,84.165,8.1
338-65-2210,C,Member,Female,Health and beauty,68.6,10,34.3,720.3,2/5/2019,19:57,Cash,622.202,63.798,9.1
488-25-4221,C,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2/22/2019,10:36,Credit card,29.95385,0.45615,8.4
239-10-7476,A,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,1/21/2019,16:37,Ewallet,445.7181,21.9819,8
458-41-1477,C,Normal,Female,Health and beauty,46.26,6,13.878,291.438,3/8/2019,17:11,Credit card,251.74692,25.81308,9.5
685-64-1609,A,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2/10/2019,12:28,Ewallet,283.6174,17.7826,9.2
568-90-5112,C,Normal,Male,Health and beauty,66.14,4,13.228,277.788,3/19/2019,12:46,Credit card,239.95592,24.60408,5.6
262-47-2794,B,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,3/6/2019,15:07,Credit card,547.86064,27.01936,6.2
238-49-0436,A,Normal,Male,Health and beauty,32.46,8,12.984,272.664,3/27/2019,13:48,Credit card,235.52976,24.15024,4.9
608-96-3517,B,Member,Female,Fashion accessories,91.54,4,18.308,384.468,3/23/2019,19:20,Credit card,344.55656,21.60344,4.8
584-86-7256,C,Member,Male,Sports and travel,34.56,7,12.096,254.016,3/11/2019,16:07,Credit card,239.01696,2.90304,7.3
746-94-0204,A,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,1/29/2019,11:56,Credit card,704.95956,44.20044,7.4
214-17-6927,C,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2/7/2019,18:23,Ewallet,97.3968,1.4832,9.9
400-89-4171,C,Normal,Female,Sports and travel,80.97,8,32.388,680.148,1/28/2019,13:05,Cash,639.98688,7.77312,9.3
782-95-9291,A,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,2/20/2019,15:55,Credit card,454.52825,6.92175,9
279-74-2924,B,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,1/4/2019,19:40,Cash,68.05631,4.11369,6.1
307-85-2293,B,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,3/7/2019,13:58,Ewallet,239.5842,11.8158,9.7
743-04-1105,B,Member,Male,Health and beauty,97.22,9,43.749,918.729,3/30/2019,14:43,Ewallet,793.60686,81.37314,6
423-57-2993,B,Normal,Male,Sports and travel,93.39,6,28.017,588.357,3/27/2019,19:18,Ewallet,553.61592,6.72408,10
894-41-5205,C,Normal,Female,Food and beverages,43.18,8,17.272,362.712,1/19/2019,19:39,Credit card,340.2584,5.1816,8.3
275-28-0149,A,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,2/25/2019,16:21,Cash,62.92572,0.76428,6
101-17-6199,A,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,3/13/2019,19:44,Credit card,315.72205,4.80795,7
423-80-0988,C,Normal,Male,Sports and travel,76.4,2,7.64,160.44,1/30/2019,19:42,Ewallet,150.9664,1.8336,6.5
548-46-9322,B,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2/20/2019,15:24,Credit card,393.015,5.985,5.9
505-02-0892,B,Member,Male,Health and beauty,42.57,8,17.028,357.588,2/25/2019,14:12,Ewallet,308.88792,31.67208,5.6
234-65-2137,C,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,1/16/2019,13:32,Cash,910.8774,44.9226,4.8
687-47-8271,A,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2/8/2019,16:20,Credit card,931.4018,58.3982,8.7
796-32-9050,A,Normal,Male,Food and beverages,51.28,6,15.384,323.064,1/19/2019,16:31,Cash,303.0648,4.6152,6.5
105-31-1824,A,Member,Male,Sports and travel,69.52,7,24.332,510.972,2/1/2019,15:10,Credit card,480.80032,5.83968,8.5
249-42-3782,A,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,1/3/2019,11:36,Ewallet,317.49535,32.55465,5.5
316-55-4634,B,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,1/26/2019,12:45,Credit card,394.24625,6.00375,9.4
733-33-4967,C,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,3/3/2019,19:17,Cash,157.2924,9.5076,6.3
608-27-6295,B,Member,Male,Electronic accessories,52.89,6,15.867,333.207,1/19/2019,17:34,Credit card,299.25162,18.08838,9.8
414-12-7047,B,Normal,Male,Food and beverages,19.79,8,7.916,166.236,1/18/2019,12:04,Ewallet,155.9452,2.3748,8.7
827-26-2100,A,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,3/21/2019,16:21,Ewallet,290.24568,14.31432,8.8
175-54-2529,A,Member,Male,Food and beverages,22.17,8,8.868,186.228,3/3/2019,17:01,Credit card,174.6996,2.6604,9.6
139-52-2867,C,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,2/13/2019,10:50,Credit card,148.27337,9.29663,4.8
407-63-8975,A,Normal,Male,Food and beverages,73.88,6,22.164,465.444,3/23/2019,19:16,Ewallet,436.6308,6.6492,4.4
342-65-4817,C,Member,Male,Health and beauty,86.8,3,13.02,273.42,1/28/2019,16:47,Ewallet,236.1828,24.2172,9.9
130-98-8941,C,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,2/9/2019,10:00,Cash,423.28062,26.53938,5.7
434-83-9547,C,Member,Male,Food and beverages,38.47,8,15.388,323.148,1/23/2019,11:51,Cash,303.1436,4.6164,7.7
851-28-6367,A,Member,Male,Sports and travel,15.5,10,7.75,162.75,3/23/2019,10:55,Ewallet,153.14,1.86,8
824-88-3614,C,Normal,Male,Health and beauty,34.31,8,13.724,288.204,1/25/2019,15:00,Ewallet,248.95336,25.52664,5.7
586-25-0848,A,Normal,Female,Sports and travel,12.34,7,4.319,90.699,3/4/2019,11:19,Credit card,85.34344,1.03656,6.7
895-66-0685,B,Member,Male,Food and beverages,18.08,3,2.712,56.952,3/5/2019,19:46,Ewallet,53.4264,0.8136,8
305-14-0245,B,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,3/3/2019,19:00,Ewallet,720.39176,35.52824,7.5
732-04-5373,B,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,2/8/2019,10:53,Cash,177.14364,8.73636,7
400-60-7251,A,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,2/10/2019,12:50,Ewallet,70.58871,3.48129,9.9
593-65-1552,C,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,1/28/2019,20:50,Credit card,266.11572,13.12428,5.9
284-34-9626,B,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,2/11/2019,10:39,Credit card,220.25736,10.86264,7.2
437-58-8131,B,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,1/15/2019,13:41,Ewallet,138.36464,8.67536,4.6
286-43-6208,C,Normal,Female,Food and beverages,87.8,9,39.51,829.71,3/16/2019,19:08,Cash,778.347,11.853,9.2
641-43-2399,B,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,1/26/2019,20:23,Ewallet,97.3966,4.8034,5.7
831-07-6050,A,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,3/19/2019,11:30,Credit card,154.22765,9.32235,9.9
556-86-3144,C,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,1/13/2019,19:30,Cash,69.90689,4.38311,5
848-24-9445,C,Member,Male,Health and beauty,43.7,2,4.37,91.77,3/26/2019,18:03,Cash,79.2718,8.1282,4.9
856-22-8149,A,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,3/23/2019,10:13,Ewallet,24.10137,1.18863,6.1
699-01-4164,C,Normal,Male,Health and beauty,41.5,4,8.3,174.3,3/12/2019,19:58,Credit card,150.562,15.438,8.2
420-11-4919,C,Member,Female,Food and beverages,71.39,5,17.8475,374.7975,2/17/2019,19:57,Credit card,351.59575,5.35425,5.5
606-80-4905,C,Member,Female,Sports and travel,19.15,6,5.745,120.645,1/29/2019,10:01,Credit card,113.5212,1.3788,6.8
542-41-0513,B,Member,Female,Electronic accessories,57.49,4,11.498,241.458,3/15/2019,11:57,Cash,216.85228,13.10772,6.6
426-39-2418,C,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,1/14/2019,10:02,Cash,405.36741,24.50259,9.8
875-46-5808,B,Member,Male,Health and beauty,25.9,10,12.95,271.95,2/6/2019,14:51,Ewallet,234.913,24.087,8.7
394-43-4238,B,Member,Male,Home and lifestyle,17.77,5,4.4425,93.2925,2/15/2019,12:42,Credit card,84.67405,4.17595,5.4
749-24-1565,A,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,1/3/2019,12:02,Ewallet,187.99389,19.27611,7.9
